filename,n_clusters,n_regions,MSEIncremental,MSEClassic,MSEFuzzy,PSNRIncremental,PSNRClassic,PSNRFuzzy,TimeIncremental,TimeClassic,TimeFuzzy
baboon.png,16,4,653.8647613525391,628.7291069030762,694.9485702514648,19.975924282497882,20.146167944659,19.71127695101466,5.9534218311309814,10.1567542552948,333.40705943107605
baboon.png,32,4,395.35972595214844,381.8262596130371,437.18468856811523,22.160879338456986,22.31214567735175,21.72415417532654,9.437967300415039,10.781786680221558,1402.0085322856903
baboon.png,64,4,251.54253005981445,237.4663963317871,298.66239166259766,24.124689360535783,24.37478199202655,23.378998223003293,26.19264054298401,82.62911057472229,2788.8120222091675
baboon.png,128,4,165.14382553100586,150.81937408447266,223.8234748840332,25.952180201274373,26.346232267776223,24.631747269421233,70.05035424232483,180.59001517295837,5771.195019245148
jet.png,16,4,144.59365463256836,159.44872665405273,179.51470947265625,25.782824800811884,25.35810659471641,24.843316742676627,10.844292163848877,24.454342365264893,267.9381158351898
jet.png,32,4,71.64152145385742,65.53293991088867,120.62213134765625,28.83266914416067,29.21972063292707,26.570047167975368,41.166380643844604,63.50323152542114,1136.6150124073029
jet.png,64,4,41.612060546875,41.7345085144043,99.92965316772461,31.192124930917295,31.17936411413095,27.38737334740626,77.50680947303772,196.59038853645325,2819.5771646499634
jet.png,128,4,25.231082916259766,27.881328582763672,86.80268859863281,33.364958240148354,32.93118250185725,27.998985377374925,120.35266304016113,398.6199016571045,5796.2823712825775
lena.png,16,4,191.58451080322266,176.68741607666016,194.1767120361328,25.30719966483468,25.658747413163223,25.24883217894602,7.359877347946167,3.859560012817383,115.51771879196167
lena.png,32,4,105.0939826965332,97.21186065673828,108.5485610961914,27.91502510267867,28.253611051646104,27.774562899832834,15.285418510437012,16.815823316574097,884.134580373764
lena.png,64,4,63.13733673095703,58.757911682128906,71.79928970336914,30.127941024033127,30.440140087572573,29.56960212996545,47.33678317070007,83.2806248664856,2856.6620235443115
lena.png,128,4,40.47499084472656,37.220115661621094,47.603797912597656,32.058936016780805,32.42302642499659,31.354387580069616,67.76550889015198,213.86766147613525,5935.958667516708
peppers.png,16,4,458.28474044799805,414.9670600891113,464.0686721801758,20.88361295280684,21.314830680534296,20.82914440469314,6.643884658813477,4.265834093093872,121.54769825935364
peppers.png,32,4,246.4896469116211,229.24318313598633,314.38651275634766,23.576980093139742,23.892002618349316,22.520327855724787,12.67248821258545,15.331815242767334,1047.279788017273
peppers.png,64,4,149.26280975341797,134.65938186645508,218.6085662841797,25.755450794114335,26.202600754469017,24.098295160302296,40.97327017784119,75.32487940788269,2595.737482070923
peppers.png,128,4,92.57989120483398,84.06599044799805,160.99860000610352,27.8298002593384,28.248763579114218,25.426745924620693,61.368016719818115,192.12088584899902,5731.997423410416
baboon.png,16,9,702.0824241638184,-1,-1,19.66692259766308,-1,-1,5.5315165519714355,-1,-1
baboon.png,32,9,408.9331398010254,-1,-1,22.014280538119305,-1,-1,14.507116079330444,-1,-1
baboon.png,64,9,253.50029754638672,-1,-1,24.091018874444014,-1,-1,29.298297882080078,-1,-1
baboon.png,128,9,163.88386154174805,-1,-1,25.98544172327623,-1,-1,57.396345376968384,-1,-1
jet.png,16,9,145.06869506835938,-1,-1,25.76858010348652,-1,-1,13.46940279006958,-1,-1
jet.png,32,9,71.44375228881836,-1,-1,28.84467458811946,-1,-1,24.9230854511261,-1,-1
jet.png,64,9,41.72130584716797,-1,-1,31.180738217449896,-1,-1,33.11098384857178,-1,-1
jet.png,128,9,27.52527618408203,-1,-1,32.98700029515423,-1,-1,48.76023244857788,-1,-1
lena.png,16,9,186.92960357666016,-1,-1,25.414022759048358,-1,-1,7.094094514846802,-1,-1
lena.png,32,9,103.02446746826172,-1,-1,28.001399825263494,-1,-1,15.828895092010498,-1,-1
lena.png,64,9,63.04751968383789,-1,-1,30.134123549518442,-1,-1,26.298152208328247,-1,-1
lena.png,128,9,39.39553451538086,-1,-1,32.176333635407325,-1,-1,49.80281138420105,-1,-1
peppers.png,16,9,436.63422775268555,-1,-1,21.093789149726184,-1,-1,6.765944004058838,-1,-1
peppers.png,32,9,250.34539031982422,-1,-1,23.509570929982615,-1,-1,15.406997680664062,-1,-1
peppers.png,64,9,147.87896728515625,-1,-1,25.79590283010159,-1,-1,39.40816283226013,-1,-1
peppers.png,128,9,92.60334396362305,-1,-1,27.828700224146477,-1,-1,77.08481216430664,-1,-1
